Nome,Estrela,Pais,Time,Idade,Posicao,Titular,Top Mundial,Lado,Caracteristica 1,Caracteristica 2,Extra
Juan Pablo Oscar,False,79,Achuapa,19,3,False,False,Direito,4,9,aid=0 hash=7 sid=0 tid=0
Fernando Milla,False,79,Achuapa,18,4,True,False,Direito,5,13,aid=0 hash=10 sid=0 tid=0
Estuardo Solis,False,79,Achuapa,17,4,True,False,Esquerdo,8,11,aid=0 hash=8 sid=0 tid=0
Álvaro Jiménez,False,79,Achuapa,17,4,False,False,Direito,13,8,aid=0 hash=10 sid=0 tid=0
Toivo Lahtinen,False,70,AC Oulu,17,0,True,False,Esquerdo,0,2,aid=0 hash=7 sid=0 tid=0
Jyrki Kallio,False,70,AC Oulu,19,0,False,False,Esquerdo,3,1,aid=0 hash=10 sid=0 tid=0
Lasse Jaakkola,False,70,AC Oulu,18,1,True,False,Direito,10,6,aid=0 hash=7 sid=0 tid=0
Simo,False,70,AC Oulu,18,1,True,False,Esquerdo,10,13,aid=0 hash=9 sid=0 tid=0
Juho Pasanen,False,70,AC Oulu,18,1,False,False,Esquerdo,10,11,aid=0 hash=9 sid=0 tid=0
Ilmari Tamminen,False,70,AC Oulu,17,2,True,False,Direito,7,10,aid=0 hash=7 sid=0 tid=0
Matti Nyman,False,70,AC Oulu,19,2,True,False,Esquerdo,7,13,aid=0 hash=10 sid=0 tid=0
Onni Parviainen,False,70,AC Oulu,16,2,False,False,Esquerdo,7,5,aid=0 hash=8 sid=0 tid=0
Olavi Pohjola,False,70,AC Oulu,16,3,True,False,Esquerdo,7,11,aid=0 hash=10 sid=0 tid=0
Veikko Korpela,False,70,AC Oulu,17,3,True,False,Direito,7,10,aid=0 hash=8 sid=0 tid=0
Esko Mattila,False,70,AC Oulu,17,3,True,False,Esquerdo,9,4,aid=0 hash=7 sid=0 tid=0
Herman Järvenpää,False,70,AC Oulu,18,3,False,False,Esquerdo,7,10,aid=0 hash=8 sid=0 tid=0
Hjalmar Ruotsalainen,False,70,AC Oulu,19,4,True,False,Esquerdo,8,11,aid=0 hash=10 sid=0 tid=0
Ernst Suomalainen,False,70,AC Oulu,17,4,True,False,Esquerdo,9,13,aid=0 hash=9 sid=0 tid=0
Alexander Koskela,False,70,AC Oulu,18,4,False,False,Esquerdo,9,5,aid=0 hash=7 sid=0 tid=0
Saúl Toledo,False,51,AD Sarchí,19,0,True,False,Direito,1,2,aid=0 hash=8 sid=0 tid=0
Isaac Sequeira,False,51,AD Sarchí,19,0,False,False,Direito,0,2,aid=0 hash=7 sid=0 tid=0
Jorge Vargas,False,51,AD Sarchí,16,1,True,False,Esquerdo,10,6,aid=0 hash=9 sid=0 tid=0
Alberto Pinto,False,51,AD Sarchí,18,1,True,False,Direito,6,13,aid=0 hash=10 sid=0 tid=0
Edgar,False,51,AD Sarchí,16,1,False,False,Direito,6,10,aid=0 hash=10 sid=0 tid=0
Giancarlo,False,51,AD Sarchí,17,2,True,False,Direito,7,10,aid=0 hash=8 sid=0 tid=0
Omar Zúñiga,False,51,AD Sarchí,17,2,True,False,Direito,5,12,aid=0 hash=10 sid=0 tid=0
Víctor Duarte,False,51,AD Sarchí,16,2,False,False,Direito,7,13,aid=0 hash=8 sid=0 tid=0
Rogelio Sequeira,False,51,AD Sarchí,19,3,True,False,Direito,11,9,aid=0 hash=7 sid=0 tid=0
Guillermo Rojas,False,51,AD Sarchí,16,3,True,False,Direito,7,11,aid=0 hash=7 sid=0 tid=0
Randall Wilson,False,51,AD Sarchí,18,3,True,False,Esquerdo,11,13,aid=0 hash=9 sid=0 tid=0
Eric Toledo,False,51,AD Sarchí,16,3,False,False,Direito,4,9,aid=0 hash=9 sid=0 tid=0
Giancarlo Fernández,False,51,AD Sarchí,16,4,True,False,Direito,5,13,aid=0 hash=9 sid=0 tid=0
Hugo Brown,False,51,AD Sarchí,16,4,True,False,Direito,9,11,aid=0 hash=10 sid=0 tid=0
Victor Calderón,False,51,AD Sarchí,17,4,False,False,Esquerdo,9,5,aid=0 hash=8 sid=0 tid=0
Dominic Collins,False,75,Aduana Stars,17,0,True,False,Direito,3,1,aid=0 hash=7 sid=0 tid=0
Eric Thomas,False,75,Aduana Stars,18,0,False,False,Direito,3,1,aid=0 hash=7 sid=0 tid=0
Godwin,False,75,Aduana Stars,18,1,True,False,Direito,10,6,aid=0 hash=10 sid=0 tid=0
Carlos Coleman,False,75,Aduana Stars,16,1,True,False,Direito,10,9,aid=0 hash=8 sid=0 tid=0
Julius Elliott,False,75,Aduana Stars,19,1,False,False,Esquerdo,10,11,aid=0 hash=7 sid=0 tid=0
Emanuel Gbeho,False,75,Aduana Stars,19,2,True,False,Esquerdo,7,5,aid=0 hash=9 sid=0 tid=0
Matthew Poku,False,75,Aduana Stars,17,2,True,False,Esquerdo,7,10,aid=0 hash=9 sid=0 tid=0
Gabriel Johnson,False,75,Aduana Stars,17,2,False,False,Esquerdo,7,10,aid=0 hash=8 sid=0 tid=0
Ibrahim Butler,False,75,Aduana Stars,18,3,True,False,Esquerdo,9,11,aid=0 hash=10 sid=0 tid=0
Malik Ollennu,False,75,Aduana Stars,18,3,True,False,Direito,10,11,aid=0 hash=9 sid=0 tid=0
Haruna Sawyerr,False,75,Aduana Stars,19,3,True,False,Direito,7,11,aid=0 hash=10 sid=0 tid=0
Daniel Tuffour,False,75,Aduana Stars,19,3,False,False,Esquerdo,4,9,aid=0 hash=7 sid=0 tid=0
Kofi Boateng,False,75,Aduana Stars,16,4,True,False,Direito,8,9,aid=0 hash=7 sid=0 tid=0
Solomon Debrah,False,75,Aduana Stars,17,4,True,False,Esquerdo,9,11,aid=0 hash=10 sid=0 tid=0
Edwin Pratt,False,75,Aduana Stars,19,4,False,False,Direito,9,5,aid=0 hash=8 sid=0 tid=0
Matheus Santos,False,29,Água Santa,18,0,True,False,Esquerdo,1,2,aid=0 hash=2 sid=0 tid=0
Lucas,False,29,Água Santa,18,0,False,False,Direito,3,1,aid=0 hash=2 sid=0 tid=0
João Roberto,False,29,Água Santa,20,1,True,False,Direito,10,13,aid=0 hash=9 sid=0 tid=0
Guilherme Marinho,False,29,Água Santa,18,1,True,False,Esquerdo,6,10,aid=0 hash=4 sid=0 tid=0
Pedro Lopes,False,29,Água Santa,16,1,False,False,Esquerdo,6,10,aid=0 hash=10 sid=0 tid=0
João Vitor,False,29,Água Santa,20,2,True,False,Esquerdo,5,12,aid=0 hash=3 sid=0 tid=0
Arthur,False,29,Água Santa,18,2,True,False,Direito,7,13,aid=0 hash=8 sid=0 tid=0
Edílson Júnior,False,29,Água Santa,20,2,False,False,Esquerdo,7,10,aid=0 hash=1 sid=0 tid=0
Carlos Gabriel,False,29,Água Santa,18,2,False,False,Direito,7,5,aid=0 hash=4 sid=0 tid=0
Vinicius Reis,False,29,Água Santa,19,3,True,False,Esquerdo,11,13,aid=0 hash=10 sid=0 tid=0
João Paulo,False,29,Água Santa,19,3,True,False,Esquerdo,7,10,aid=0 hash=2 sid=0 tid=0
Victor Anjos,False,29,Água Santa,19,3,True,False,Esquerdo,4,9,aid=0 hash=5 sid=0 tid=0
João Pedro,False,29,Água Santa,16,3,True,False,Direito,11,13,aid=0 hash=7 sid=0 tid=0
Arthur Korek,False,29,Água Santa,19,4,True,False,Esquerdo,13,8,aid=0 hash=6 sid=0 tid=0
Nicolas Rangel,False,29,Água Santa,19,4,True,False,Esquerdo,9,12,aid=0 hash=6 sid=0 tid=0
Jean-Claude Bala,False,36,Aigle Royal,19,0,True,False,Esquerdo,3,1,aid=0 hash=9 sid=0 tid=0
Alexander Hansel,False,36,Aigle Royal,16,0,False,False,Direito,0,2,aid=0 hash=7 sid=0 tid=0
Marc Alexander,False,36,Aigle Royal,19,1,True,False,Direito,10,9,aid=0 hash=7 sid=0 tid=0
William,False,36,Aigle Royal,16,1,True,False,Esquerdo,6,10,aid=0 hash=7 sid=0 tid=0
Aloys Sabal,False,36,Aigle Royal,18,1,False,False,Direito,10,6,aid=0 hash=8 sid=0 tid=0
Jean-Marie Feudjou,False,36,Aigle Royal,19,2,True,False,Direito,7,10,aid=0 hash=7 sid=0 tid=0
Emmanuel Ngassa,False,36,Aigle Royal,17,2,True,False,Esquerdo,7,13,aid=0 hash=8 sid=0 tid=0
Fabien,False,36,Aigle Royal,16,2,False,False,Esquerdo,7,5,aid=0 hash=9 sid=0 tid=0
Jean-Marie,False,36,Aigle Royal,19,3,True,False,Direito,7,10,aid=0 hash=8 sid=0 tid=0
Basile Messina,False,36,Aigle Royal,16,3,True,False,Direito,11,13,aid=0 hash=9 sid=0 tid=0
Ernest Eto'o,False,36,Aigle Royal,16,3,True,False,Direito,7,9,aid=0 hash=8 sid=0 tid=0
Cyrille Foé,False,36,Aigle Royal,18,3,False,False,Esquerdo,8,11,aid=0 hash=9 sid=0 tid=0
Simon,False,36,Aigle Royal,17,4,True,False,Direito,13,9,aid=0 hash=7 sid=0 tid=0
Bertrand Salli,False,36,Aigle Royal,17,4,True,False,Esquerdo,9,5,aid=0 hash=9 sid=0 tid=0
Gédéon,False,36,Aigle Royal,18,4,False,False,Esquerdo,8,11,aid=0 hash=8 sid=0 tid=0
Carlos de Jesus,False,29,Aimoré,18,0,True,False,Direito,2,0,aid=0 hash=7 sid=0 tid=0
Valdir Penna,False,29,Aimoré,19,0,False,False,Direito,2,0,aid=0 hash=10 sid=0 tid=0
Christiano Carrilho,False,29,Aimoré,16,1,True,False,Esquerdo,6,11,aid=0 hash=9 sid=0 tid=0
Ulisses Gaspari,False,29,Aimoré,16,1,True,False,Esquerdo,10,9,aid=0 hash=8 sid=0 tid=0
Juvenal Leite,False,29,Aimoré,18,1,False,False,Direito,6,10,aid=0 hash=9 sid=0 tid=0
Augusto César,False,29,Aimoré,17,2,True,False,Direito,7,5,aid=0 hash=10 sid=0 tid=0
Mattheus Gracie,False,29,Aimoré,18,2,True,False,Esquerdo,7,13,aid=0 hash=8 sid=0 tid=0
João Carlos,False,29,Aimoré,19,2,False,False,Esquerdo,7,12,aid=0 hash=10 sid=0 tid=0
Frederico Amado,False,29,Aimoré,17,3,True,False,Direito,7,11,aid=0 hash=8 sid=0 tid=0
Cesar,False,29,Aimoré,17,3,True,False,Direito,10,11,aid=0 hash=8 sid=0 tid=0
Eron,False,29,Aimoré,16,3,True,False,Direito,4,11,aid=0 hash=8 sid=0 tid=0
Magnus Lacerda,False,29,Aimoré,19,3,False,False,Esquerdo,7,10,aid=0 hash=9 sid=0 tid=0
Braz,False,29,Aimoré,17,4,True,False,Esquerdo,8,9,aid=0 hash=10 sid=0 tid=0
Marcílio,False,29,Aimoré,17,4,True,False,Esquerdo,9,11,aid=0 hash=7 sid=0 tid=0
Miro Mineiro,False,29,Aimoré,17,4,False,False,Direito,9,5,aid=0 hash=8 sid=0 tid=0
Samuel Ezike,False,141,Akwa United,18,0,True,False,Esquerdo,0,2,aid=0 hash=8 sid=0 tid=0
Mohammed Williams,False,141,Akwa United,19,0,False,False,Esquerdo,3,1,aid=0 hash=10 sid=0 tid=0
Mustapha Hare,False,141,Akwa United,17,1,True,False,Esquerdo,6,10,aid=0 hash=10 sid=0 tid=0
Chidi,False,141,Akwa United,18,1,True,False,Esquerdo,6,11,aid=0 hash=9 sid=0 tid=0
Hamza Smith,False,141,Akwa United,16,1,False,False,Esquerdo,10,13,aid=0 hash=8 sid=0 tid=0
Abubakar Ember,False,141,Akwa United,16,2,True,False,Direito,7,10,aid=0 hash=7 sid=0 tid=0
Edwin Onaga,False,141,Akwa United,17,2,True,False,Esquerdo,7,5,aid=0 hash=8 sid=0 tid=0
Joel Benson,False,141,Akwa United,16,2,False,False,Esquerdo,7,12,aid=0 hash=8 sid=0 tid=0
Jonathan Moore,False,141,Akwa United,18,3,True,False,Esquerdo,4,8,aid=0 hash=10 sid=0 tid=0
Abdullah Balogun,False,141,Akwa United,16,3,True,False,Esquerdo,10,12,aid=0 hash=10 sid=0 tid=0
Sam Chukwunyelu,False,141,Akwa United,18,3,True,False,Direito,4,11,aid=0 hash=7 sid=0 tid=0
Abraham Onaga,False,141,Akwa United,18,3,False,False,Direito,4,9,aid=0 hash=10 sid=0 tid=0
Jim Haruna,False,141,Akwa United,19,4,True,False,Esquerdo,5,13,aid=0 hash=9 sid=0 tid=0
Abdulkadir,False,141,Akwa United,17,4,True,False,Esquerdo,9,11,aid=0 hash=7 sid=0 tid=0
Kevin Taiwo,False,141,Akwa United,18,4,False,False,Esquerdo,9,11,aid=0 hash=7 sid=0 tid=0
Fouad Awad,False,57,Al-Ahly,17,0,True,False,Esquerdo,2,0,aid=0 hash=7 sid=0 tid=0
Said Mubarak,False,57,Al-Ahly,16,0,False,False,Esquerdo,2,0,aid=0 hash=8 sid=0 tid=0
Ayman Sabry,False,57,Al-Ahly,19,1,True,False,Direito,10,13,aid=0 hash=10 sid=0 tid=0
Mahmud Fawzi,False,57,Al-Ahly,19,1,True,False,Esquerdo,6,10,aid=0 hash=9 sid=0 tid=0
Fouad Cohen,False,57,Al-Ahly,16,1,False,False,Direito,10,6,aid=0 hash=9 sid=0 tid=0
Mohammed Adly,False,57,Al-Ahly,19,2,True,False,Esquerdo,7,5,aid=0 hash=7 sid=0 tid=0
Sherif Rashad,False,57,Al-Ahly,16,2,True,False,Esquerdo,7,10,aid=0 hash=8 sid=0 tid=0
Hassan Azer,False,57,Al-Ahly,17,2,False,False,Direito,5,12,aid=0 hash=8 sid=0 tid=0
Wael Saïd,False,57,Al-Ahly,16,3,True,False,Direito,4,11,aid=0 hash=8 sid=0 tid=0
Farid Osman,False,57,Al-Ahly,17,3,True,False,Esquerdo,8,11,aid=0 hash=9 sid=0 tid=0
Samy,False,57,Al-Ahly,17,3,True,False,Esquerdo,4,8,aid=0 hash=7 sid=0 tid=0
Mohammed Shehata,False,57,Al-Ahly,18,3,False,False,Direito,9,4,aid=0 hash=8 sid=0 tid=0
Farid Al-Banna,False,57,Al-Ahly,17,4,True,False,Esquerdo,8,11,aid=0 hash=8 sid=0 tid=0
Hussein Antaki,False,57,Al-Ahly,17,4,True,False,Esquerdo,8,11,aid=0 hash=9 sid=0 tid=0
Mohsen Taha,False,57,Al-Ahly,16,4,False,False,Direito,9,5,aid=0 hash=10 sid=0 tid=0
Walter Gallegos,False,51,Alajuelense,17,0,True,False,Direito,0,1,aid=0 hash=10 sid=0 tid=0
León Alvarado,False,51,Alajuelense,16,0,False,False,Esquerdo,1,2,aid=0 hash=7 sid=0 tid=0
Hugo Blanco,False,51,Alajuelense,18,1,True,False,Direito,6,10,aid=0 hash=9 sid=0 tid=0
